counter,treatment,plant.no,farm,branch.code,total.berries,berry.no,mass,brix,big.seeds,med.seeds,lil.seeds
MM,C,9,Charlotte,ClA,2,3,2.7107,14,42,30,7
MM,C,9,Charlotte,ClA,1,4,1.9455,16,17,55,9
MM,C,9,Charlotte,ClA,3,5,1.6335,14,22,19,9
MM,C,9,Charlotte,CLB,3,1,1.4212,14,40,26,3
MM,C,9,Charlotte,CLB,3,2,1.2121,13,46,29,4
MM,C,9,Charlotte,CLB,3,3,1.9158,16,25,35,9
MM,C,9,Charlotte,CLB,1,4,1.7535,15,24,41,8
MM,C,9,Charlotte,CLB,1,5,1.2882,20,4,23,25
MM,C,368,Knoll,HPlB,6,1,2.3156,13,48,33,8
MM,C,368,Knoll,HPlB,6,2,2.0915,15,35,36,3
MM,C,368,Knoll,HPlB,6,3,2.6807,15,35,46,9
MM,C,368,Knoll,HPlB,2,4,1.8691,12,29,46,7
MM,C,368,Knoll,HPlB,2,5,1.9115,11,9,63,6
MM,C,45,Adam's,CLA,1,1,1.7968,12,14,73,5
MM,C,45,Adam's,CLA,2,2,1.5439,12,6,72,16
MM,C,45,Adam's,CLA,2,3,1.9981,11,39,64,2
MM,C,45,Adam's,CLA,2,4,1.7273,11,28,49,6
MM,C,45,Adam's,CLA,2,5,1.5386,11,34,47,6
MM,C,9,Charlotte,HPlC,1,1,1.5228,18,54,6,8
MM,C,9,Charlotte,HPlC,4,2,1.2038,16,55,5,4
MM,C,9,Charlotte,HPlC,4,3,1.4377,16,69,8,5
MM,C,9,Charlotte,HPlC,4,4,1.0577,13,65,4,5
MM,C,9,Charlotte,HPlC,4,5,1.2478,15,58,5,8
MM,D,54,Hort,NA,5,1,1.5042,10,16,71,14
MM,D,54,Hort,NA,5,2,1.2689,16,21,51,8
MM,D,54,Hort,NA,5,3,2.5625,12,33,47,10
MM,D,54,Hort,NA,5,4,0.7589,18,16,45,8
MM,D,54,Hort,NA,5,5,1.0643,13,24,54,8
MM,D,79,Hort,NA,4,1,1.7774,12,28,50,11
MM,D,79,Hort,NA,4,2,1.4541,12,33,44,7
MM,D,79,Hort,NA,4,3,1.2851,11,25,37,14
MM,D,79,Hort,NA,4,4,1.4634,10,28,51,12
MM,D,79,Hort,NA,1,5,1.1821,17,21,44,5
MM,D,94,Hort,NA,2,1,1.2185,11,13,52,7
MM,D,94,Hort,NA,3,2,1.8329,11,14,40,14
MM,D,94,Hort,NA,3,3,1.3707,11,5,42,25
MM,D,94,Hort,NA,3,4,0.7841,9,11,53,7
MM,D,94,Hort,NA,1,5,1.5208,11,15,50,14
MM,D,45,Hort,NA,5,1,1.8177,8,38,37,19
MM,D,45,Hort,NA,5,2,2.0599,11,30,59,11
MM,D,45,Hort,NA,5,3,1.8205,12,11,56,13
MM,D,45,Hort,NA,5,4,1.9142,12,22,63,17
MM,D,45,Hort,NA,5,5,1.8091,11,12,45,17
MM,B,199,Hort,NA,1,1,0.5025,15,0,0,21
MM,B,199,Hort,NA,4,2,0.4722,13,14,50,8
MM,B,199,Hort,NA,4,3,0.6472,14,0,0,2
MM,B,199,Hort,NA,3,4,0.7163,17,8,55,13
MM,B,199,Hort,NA,3,5,0.7551,14,11,65,12
MM,C,322,Full Belly,HPLA,5,1,1.2494,14,16,39,6
MM,C,322,Full Belly,HPLA,5,2,1.6381,18,26,28,5
MM,C,322,Full Belly,HPLA,5,3,1.1747,13.5,21,26,14
MM,C,322,Full Belly,HPLA,2,4,2.2095,15,30,26,8
MM,C,322,Full Belly,HPLA,2,5,1.7971,14,35,17,5
MM,C,3,Isham,HPLA,3,1,2.6931,13,70,25,16
MM,C,3,Isham,HPLA,3,2,2.2662,15,27,64,14
MM,C,3,Isham,HPLA,3,3,2.5244,13.5,50,35,16
MM,C,3,Isham,HPLA,2,4,1.7309,18,32,49,7
MM,C,3,Isham,HPLA,2,5,2.4774,14,55,35,17
MM,C,222,Charlotte,ClA,3,1,0.6509,11,27,51,5
MM,C,222,Charlotte,ClA,3,2,0.7225,12,39,51,13
MM,C,222,Charlotte,ClA,3,3,0.6128,10,34,55,4
MM,C,222,Charlotte,ClA,3,4,0.5804,10,18,76,5
MM,C,222,Charlotte,ClA,3,5,0.6097,13,27,26,40
MM,C,99,Adam's,HPLA,1,1,0.7906,14,20,17,28
MM,C,99,Adam's,HPLA,5,2,1.2273,12,26,11,30
MM,C,99,Adam's,HPLA,5,3,1.4271,11,21,28,34
MM,C,99,Adam's,HPLA,5,4,1.2021,9,39,15,24
MM,C,99,Adam's,HPLA,5,5,0.8341,9,26,17,29
MM,A,146,Full Belly,CLB,4,1,1.8551,10,52,43,7
MM,A,146,Full Belly,CLB,4,2,1.5919,9,14,77,5
MM,A,146,full Belly,CLB,4,3,1.6621,11,32,55,7
MM,A,146,full Belly,CLB,4,4,1.8123,7,39,41,14
MM,A,146,full Belly,CLB,1,5,1.7783,11,35,61,5
MM,D,374,Hort,NA,2,1,1.0631,12,12,67,10
MM,D,374,Hort,NA,2,2,1.3533,13,17,54,14
MM,D,374,Hort,NA,4,3,1.4003,12,30,40,11
MM,D,374,Hort,NA,4,4,1.3745,10,22,43,6
MM,D,202,Hort,NA,1,1,1.4428,15,19,60,9
MM,D,202,Hort,NA,2,2,1.3272,14,31,63,12
MM,D,202,Hort,NA,2,3,0.6904,13,1,10,72
MM,D,204,Hort,NA,1,1,1.0411,16,3,44,20
MM,D,204,Hort,NA,2,2,1.1474,13,7,63,13
MM,D,204,Hort,NA,2,3,0.8841,11,2,39,26
MM,D,204,Hort,NA,1,4,1.6399,13,27,41,10
MM,D,385,Hort,NA,1,1,0.6544,17,6,82,13
MM,D,385,Hort,NA,1,2,0.8479,19,13,60,9
MM,D,49,Hort,NA,1,1,0.7446,12,0,49,5
MM,D,49,Hort,NA,2,2,2.0129,11,55,30,8
MM,D,49,Hort,NA,2,3,1.6469,12,13,50,15
MM,D,79,Hort,NA,2,1,0.7584,13,1,30,23
MM,D,79,Hort,NA,2,2,1.3111,15,12,43,12
MM,D,111,Hort,NA,1,1,0.5171,15,0,0,26
MM,D,284,Hort,NA,1,1,2.2721,13,21,51,11
MM,D,106,Hort,NA,4,1,0.8121,15,16,59,13
MM,D,106,Hort,NA,4,2,0.8221,11,16,57,14
MM,D,106,Hort,NA,4,3,0.7436,12,14,63,11
MM,D,106,Hort,NA,4,4,0.6303,10,18,49,13
MM,D,318,Hort,NA,1,1,1.1458,11,0,2,65
MM,D,54,Hort,NA,1,1,0.5859,10,0,15,4
MM,D,56,Hort,NA,3,1,1.1356,13,5,60,8
MM,D,56,Hort,NA,3,2,1.5867,12,24,62,13
MM,D,56,Hort,NA,3,3,1.6081,17,25,68,3
MM,D,113,Hort,NA,1,1,0.9501,12,24,46,12
MM,C,250,Isham,CLA,3,1,1.4891,10,49,49,8
MM,C,250,Isham,CLA,3,2,1.5531,11,22,69,7
MM,C,250,Isham,CLA,3,3,1.7128,12,40,63,7
MM,C,151,Isham,CLA,1,1,0.8395,17,0,34,30
